id_det;equipo;flota;f_detencion;h_inicio;h_fin;duracion;detencion;prioridad_det;id_work;workorder;prioridad_work;tarea;id_material
1;8350;797F;30-06-17;8:00;20:00;12;Inspección sistema dirección y convertidor;2;1;Sistema de dirección;3;Manguera 1;1
1;8350;797F;30-06-17;8:00;20:00;12;Inspección sistema dirección y convertidor;2;1;Sistema de dirección;3;Manguera 2;2
1;8350;797F;30-06-17;8:00;20:00;12;Inspección sistema dirección y convertidor;2;1;Sistema de dirección;3;Manguera 3;3
1;8350;797F;30-06-17;8:00;20:00;12;Inspección sistema dirección y convertidor;2;2;Convertidor;1;Manguera 4;5
1;8350;797F;30-06-17;8:00;20:00;12;Inspección sistema dirección y convertidor;2;2;Convertidor;1;Manguera 5;6
1;8350;797F;30-06-17;8:00;20:00;12;Inspección sistema dirección y convertidor;2;2;Convertidor;1;Manguera 6;7
2;8353;797F;15-07-17;7:00;17:00;10;Inspección Frenos;3;1;Frenos;3;Manguera 7;8
2;8353;797F;15-07-17;7:00;17:00;10;Inspección Frenos;3;1;Frenos;3;Manguera 8;9
2;8353;797F;15-07-17;7:00;17:00;10;Inspección Frenos;3;1;Frenos;3;Manguera 9;10
2;8353;797F;15-07-17;7:00;17:00;10;Inspección Frenos;3;1;Frenos;3;Manguera 10;11
